font_family	glyph_id	unicode	character	method	occurrences_in_recovered_docs	reference_occurrences	reference_pdfs	note
times-regular	610	U+0438	и	cross-document-glyph-id	5666	34085	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-regular	611	U+0439	й	cross-document-glyph-id	949	4649	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-regular	612	U+043A	к	cross-document-glyph-id	1404	7081	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-regular	613	U+043B	л	cross-document-glyph-id	1680	10192	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-regular	614	U+043C	м	cross-document-glyph-id	2221	11621	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-regular	615	U+043D	н	cross-document-glyph-id	4403	28241	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-regular	616	U+043E	о	cross-document-glyph-id	5776	33446	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-regular	617	U+043F	п	cross-document-glyph-id	1760	10372	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-regular	618	U+0440	р	cross-document-glyph-id	2976	18132	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-regular	619	U+0441	с	cross-document-glyph-id	3231	19285	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-regular	620	U+0442	т	cross-document-glyph-id	3274	19673	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-regular	621	U+0443	у	cross-document-glyph-id	1506	6996	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-regular	622	U+0444	ф	cross-document-glyph-id	544	3725	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-regular	623	U+0445	х	cross-document-glyph-id	853	4409	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-regular	624	U+0446	ц	cross-document-glyph-id	696	4945	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-regular	625	U+0447	ч	cross-document-glyph-id	492	3069	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-regular	626	U+0448	ш	cross-document-glyph-id	95	598	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-regular	627	U+0449	щ	cross-document-glyph-id	215	2353	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-regular	628	U+044A	ъ	cross-document-glyph-id	12	393	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-regular	629	U+044B	ы	cross-document-glyph-id	1195	6975	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-regular	630	U+044C	ь	cross-document-glyph-id	470	3227	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-regular	631	U+044D	э	cross-document-glyph-id	34	349	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-regular	632	U+044E	ю	cross-document-glyph-id	246	1718	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-regular	633	U+044F	я	cross-document-glyph-id	1322	6525	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-regular	634	U+0451	ё	cross-document-glyph-id	40	7	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-regular	651	U+2116	№	cross-document-glyph-id	11	46	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
